last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Sabathia, CC,L,,88.2,62.1,70.5,,66.8,
McCarthy, Kevin,R,,100,,100,,32.2,
Maness, Seth,R,,100,,100,,,36.6
Hauschild, Mike,R,,99.6,,,,26.7,
Claudio, Alex,L,,88.7,,81.4,,30.6,
Avilán, Luis,L,,100,,77.9,,,55.9
Roe, Chaz,R,,86.9,,,,81.2,
Cishek, Steve,R,,89,,,,64.6,
Davies, Zach,R,,99.9,46.1,91.9,,,75.2
Heaney, Andrew,L,,93.2,,89.6,,,26.8
Scahill, Rob,R,,85.1,,,,32,56.7
Jansen, Kenley,R,,100,88.9,,,41.8,
Kolarek, Adam,L,,85.6,,,,,
Floro, Dylan,R,,94.4,,,,46.4,
Bergman, Christian,R,,94,,91.6,,55,44.7
Sherriff, Ryan,L,,78.2,,,,27.8,
Rzepczynski, Marc,L,,94.4,,82.1,,30.2,
Yacabonis, Jimmy,R,,100,,,,33.3,
Boshers, Buddy,L,,100,,88.9,,,37.4
Watson, Tony,L,,88.7,,94.9,,29.7,
Duke, Zach,L,,76.7,,,,51.7,70.2
Layne, Tommy,L,,82.3,41.1,74.9,,77.7,
Howell, J.P.,L,,76.5,,,,,60
Wood, Alex,L,,100,,98.4,,,32.9
Moylan, Peter,R,,100,,100,,30.5,
Harrell, Lucas,R,,93.6,,,,25.1,
Ziegler, Brad,R,,86.3,,74.8,,,67.9
Loup, Aaron,L,,92.9,18.6,82.2,,,79.6
Solís, Sammy,L,,100,,92.1,,,53.5
Grace, Matt,L,,86.7,,86,,28.9,
Fister, Doug,R,,91.5,29.3,84.9,,,71.2
Fedde, Erick,R,,88.8,36.4,76,,,55
Matz, Steven,L,,89.1,,83.6,,22.7,60.3
Jones, Nate,R,,100,,,,17.6,
McFarland, T.J.,L,,85.3,,80.6,,37.4,
Volstad, Chris,R,,95.1,,94.5,,,53.2
Lucas, Josh,R,,100,,,,20.9,
McGowan, Kevin,R,,100,,92.9,,34.9,
Kendrick, Kyle,R,,94.4,71.6,,,47.2,
Hader, Josh,L,,100,,81.2,,50,
Qualls, Chad,R,,86.4,,,,36.2,
Rowley, Chris,R,,88.5,,100,,20.5,
Neshek, Pat,R,,90.3,,63.9,,28.4,
Pelfrey, Mike,R,,100,,,,24.4,64.7
Pazos, James,L,,97.6,,,,28.1,
Astin, Barrett,R,,81.8,,75.9,,42.5,
Manaea, Sean,L,,88.6,,59.9,,19.7,
Hart, Donnie,L,,91.3,,88.7,,40.3,
Heston, Chris,R,,84.7,,,,61.9,
Collmenter, Josh,R,,,83.2,91.5,,,62.1
Smith, Carson,R,,64.1,,,,48.4,
Shaw, Bryan,R,,,47.8,,,64.7,
Castro, Miguel,R,,97.2,,96,,23.8,
Crichton, Stefan,R,,100,,,,36.2,
Rogers, Taylor,L,,99.6,,89.6,,,64.9
Gómez, Jeanmar,R,,90.9,,77,,38.3,
Smith, Caleb,L,100,,,100,,19.5,
McGrath, Kyle,L,100,,,100,,,
Breslow, Craig,L,100,100,,100,,,59.7
Uehara, Koji,R,100,,,,,,
Stephenson, Robert,R,100,,,,,26.1,28
Lorenzen, Michael,R,100,100,48.7,99.7,,24.3,30.6
Dayton, Grant,L,100,,,,,,42.9
Hill, Rich,L,100,100,69.5,,,78.2,82.8
Anderson, Tyler,L,100,100,55,94.3,,,
Melville, Tim,R,100,,,,,33.9,
Heller, Ben,R,100,,,97.5,,,36.5
Neverauskas, Dovydas,R,100,,39.1,,,,48.8
Farrell, Luke,R,100,,,91.4,,24.6,
Fields, Josh,R,100,,,77.2,,,65.2
Perkins, Glen,L,100,97.1,,,,18,
Mahle, Tyler,R,100,,,97.2,,26.6,
Gant, John,R,100,100,,91.8,,,68.8
Wimmers, Alex,R,100,,,100,,,
Kershaw, Clayton,L,100,100,,100,,55.6,71
Curtiss, John,R,100,,,,,39.9,
Estrada, Marco,R,100,,48,98,,,58.2
Kintzler, Brandon,R,100,100,,100,,31.8,
McGee, Jake,L,100,,,,,39.8,
Iglesias, Raisel,R,100,98.2,,98.5,,47.9,
Sánchez, Angel,R,100,,46.1,97,,,38.1
Robles, Hansel,R,100,100,,100,,26,
Hardy, Blaine,L,100,,52,97.4,,,75.4
Gausman, Kevin,R,100,,,100,,22.4,
Capps, Carter,R,100,,,,,,38.3
Wojciechowski, Asher,R,100,,,96.6,,67.2,
Miranda, Aríel,L,100,,,,,71.2,
Gallegos, Giovanny,R,100,,,,,31.1,
O'Grady, Chris,L,100,,43.1,86.2,,,28.5
Yates, Kirby,R,100,100,,,,31.9,
Finnegan, Brandon,L,100,97.9,,87.1,,39.3,
Merritt, Ryan,L,100,,70.2,100,,,34.6
Kuhl, Chad,R,100,100,,100,,23.6,64.4
Maurer, Brandon,R,100,,,99.1,,31.8,
Pérez, Oliver,L,100,100,,,,65.5,
Blazek, Michael,R,100,,,,,37,
Swarzak, Anthony,R,100,,,,,25.1,
Vizcaíno, Arodys,R,100,100,,100,,27.7,
Kennedy, Ian,R,100,100,,100,,33.6,72
