"","player","pitch_type","year","rank","perc","sim_player"
"1",516714,"FF","2016","first","96.550735800532",669912
"2",516714,"FF","2017","first","94.3040289384358",657006
"3",501625,"FF","2015","first","96.6073017386401",605488
"4",501625,"FF","2016","first","96.4304201822134",592741
"5",501625,"FF","2017","first","97.3331419940625",666129
"6",501625,"FF","2018","first","97.4409986448953",666129
"7",501625,"FF","2019","first","96.5013129261188",666129
"8",501625,"FF","2021","first","97.3305926857413",592741
"9",430911,"FF","2015","first","96.514239192405",605194
"10",472551,"FF","2015","first","94.3623263375737",446321
"11",472551,"FF","2016","first","95.3013140442023",641482
"12",472551,"FF","2017","first","94.606670263776",664948
"13",676265,"FF","2021","first","97.188769168192",665152
"14",676265,"FF","2022","first","96.9045330902301",682051
"15",656061,"FF","2021","first","97.2719361015763",640448
"16",650556,"FF","2021","first","97.092548372768",625643
"17",650556,"FF","2022","first","97.7065940869208",657240
"18",642758,"FF","2022","first","95.4095626471181",650530
"19",592091,"FF","2016","first","95.2384944768657",608652
"20",592094,"FF","2018","first","95.2409616752483",663752
"21",592094,"FF","2019","first","96.7754306238787",663752
"22",592094,"FF","2021","first","97.0462084658845",663752
"23",592094,"FF","2022","first","96.0820398539407",663752
"24",542866,"FF","2015","first","97.8121322958736",650556
"25",542866,"FF","2016","first","97.5759939537522",650556
"26",542866,"FF","2019","first","95.1021825542124",664199
"27",542866,"FF","2019","first","91.6095094269346",664199
"28",613534,"FF","2019","first","93.4246084863276",519326
"29",613534,"FF","2019","first","93.4246084863276",519326
"30",613534,"FF","2019","first","91.6969499238666",621593
"31",613534,"FF","2019","first","91.6969499238666",621593
"32",613534,"FF","2021","first","91.2370621949184",621593
"33",664856,"FF","2018","first","94.7230679526482",592346
"34",664856,"FF","2019","first","94.9172280038866",608717
"35",502264,"FF","2015","first","95.1202061841142",640444
"36",534947,"FF","2016","first","95.7500170483042",572193
"37",534947,"FF","2017","first","95.231085931059",502179
"38",672851,"FF","2022","first","97.3249884435981",592332
"39",642607,"FF","2019","first","95.2334146942249",642545
"40",669211,"FF","2021","first","96.9503510206057",592741
"41",669211,"FF","2022","first","96.641600293676",641778
"42",452027,"FF","2017","first","94.1024567377314",656457
"43",452027,"FF","2021","first","96.5457660918067",542881
"44",458006,"FF","2017","first","96.8609995676399",595881
"45",458006,"FF","2018","first","96.6713132240433",661269
"46",458006,"FF","2019","first","96.3540888635223",661269
"47",456379,"FF","2015","first","95.3012085078752",596133
"48",593417,"FF","2016","first","96.3814287079428",665871
"49",593417,"FF","2017","first","96.8954704755903",595881
"50",660896,"FF","2021","first","95.1917050185452",623211
"51",645261,"FF","2018","first","96.0237832611315",519326
"52",645261,"FF","2019","first","96.0271991503805",544727
"53",645261,"FF","2021","first","96.5699554996907",623211
"54",645261,"FF","2022","first","96.5279462246688",660853
"55",518397,"FF","2017","first","91.8061434859889",669618
"56",641302,"FF","2019","first","96.5431893779861",657770
"57",641302,"FF","2021","first","96.7552645381916",674072
"58",641302,"FF","2022","first","97.4468803675946",448179
"59",669935,"FF","2021","first","96.6758759784494",669194
"60",663465,"FF","2018","first","95.8905503608438",656457
"61",663465,"FF","2019","first","96.4096035255263",676050
"62",663465,"FF","2021","first","96.879736368046",663460
"63",663465,"FF","2022","first","95.4836069224459",663460
"64",592102,"FF","2015","first","96.5015574665882",672710
"65",592102,"FF","2016","first","95.3648727619204",656629
"66",592102,"FF","2017","first","97.2444780175167",656629
"67",592102,"FF","2018","first","97.2969285240971",676886
"68",592102,"FF","2019","first","96.1995515023255",593576
"69",663531,"FF","2019","first","96.5020953231862",656986
"70",663531,"FF","2021","first","96.3781573038363",656986
"71",622075,"FF","2018","first","95.8373265920453",621249
"72",622075,"FF","2019","first","95.4917310029097",455119
"73",622075,"FF","2021","first","93.6522721739596",455119
"74",656186,"FF","2016","first","95.8053585233481",623211
"75",656186,"FF","2017","first","96.2557715898324",622491
"76",656186,"FF","2018","first","96.2612012028563",554340
"77",656186,"FF","2019","first","95.3788522722904",596133
"78",621237,"FF","2017","first","91.2316836473332",666205
"79",506693,"FF","2017","first","94.9858429365728",501381
"80",571439,"FF","2015","first","95.374165592312",450203
