"","player","pitch_type","year","rank","perc","sim_player"
"1",516714,"FF","2016","first","96.550735800532",669912
"2",516714,"FF","2017","first","96.1303900367787",571510
"3",501625,"FF","2015","first","96.9910020178471",460283
"4",501625,"FF","2016","first","96.4304201822134",592741
"5",501625,"FF","2017","first","97.8193924950141",669214
"6",501625,"FF","2018","first","97.4409986448953",666129
"7",501625,"FF","2019","first","96.7702310357331",518516
"8",501625,"FF","2021","first","97.8913945793293",592741
"9",430911,"FF","2015","first","97.7872147460032",425386
"10",472551,"FF","2015","first","96.9355419929354",605232
"11",472551,"FF","2016","first","96.6740469393074",605232
"12",472551,"FF","2017","first","96.1269657098381",605232
"13",676265,"FF","2021","first","97.7430905410149",571800
"14",676265,"FF","2022","first","97.0264092952146",657746
"15",656061,"FF","2021","first","97.2719361015763",640448
"16",650556,"FF","2021","first","98.4670793261008",625643
"17",650556,"FF","2022","first","97.8187625493544",542866
"18",642758,"FF","2022","first","96.3354192069654",660853
"19",592091,"FF","2016","first","97.4934689777912",607309
"20",592094,"FF","2018","first","97.7685434598407",542888
"21",592094,"FF","2019","first","96.7754306238787",663752
"22",592094,"FF","2021","first","97.0462084658845",663752
"23",592094,"FF","2022","first","96.0820398539407",663752
"24",542866,"FF","2015","first","97.8121322958736",650556
"25",542866,"FF","2016","first","97.5759939537522",650556
"26",542866,"FF","2019","first","95.8095455511875",543935
"27",542866,"FF","2019","first","94.3583894159462",467785
"28",613534,"FF","2019","first","93.8516821630431",605525
"29",613534,"FF","2019","first","93.8516821630431",605525
"30",613534,"FF","2019","first","93.3662671309074",554340
"31",613534,"FF","2019","first","93.3662671309074",554340
"32",613534,"FF","2021","first","93.332458079693",606983
"33",664856,"FF","2018","first","96.6479530261082",448614
"34",664856,"FF","2019","first","97.409008938275",518876
"35",502264,"FF","2015","first","96.1066569241963",543054
"36",534947,"FF","2016","first","97.4478216056259",595001
"37",534947,"FF","2017","first","96.7946538918361",573185
"38",672851,"FF","2022","first","97.9233243142101",641771
"39",642607,"FF","2019","first","96.9712729981189",468504
"40",669211,"FF","2021","first","97.0175953885582",641778
"41",669211,"FF","2022","first","97.7275861515733",607455
"42",452027,"FF","2017","first","95.3550564529858",594835
"43",452027,"FF","2021","first","97.1183616213557",543278
