year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,White, Mitch,669952,R,CH,10,87.3,1395,16.6,0.9699935337790462,0.917736988238911,135.0218204357774,105.84188776859617,Changeup,92,90,150,29.179932667181248,29.179932667181255,-60,1,30,2,30,1,0,1:30,2:30,-1H 00M
,Saucedo, Tayler,642048,L,CH,45,87.1,2014,19.7,0.9561082910642436,0.9881472679176949,246.30329642520138,255.91174997555058,Changeup,99,585,570,-9.608453550349196,9.608453550349164,15,9,45,9,30,0,15,9:45,9:30,+0H 15M
,Kikuchi, Yusei,579328,L,CH,257,86.3,1458,12.3,0.679309135955236,0.8728979124192633,223.13676065349492,249.90095968274233,Changeup,87,630,585,-26.764199029247408,26.764199029247393,45,10,30,9,45,0,45,10:30,9:45,+0H 45M
,Davis, Wade,451584,R,CH,12,84.4,1772,13.7,0.7078167840215834,0.8678056570765977,163.06422562645548,134.1501280242561,Changeup,87,750,90,28.914097602199377,28.91409760219938,-60,12,30,1,30,1,0,12:30,1:30,-1H 00M
,Mejía, J.C.,650496,R,CH,113,87.6,1784,14.3,0.7360929768753947,0.715089141455472,123.5827632453701,102.61833413910284,Changeup,72,120,150,20.96442910626726,20.964429106267268,-30,2,0,2,30,0,30,2:00,2:30,-0H 30M
,Latz, Jake,656641,L,CH,20,83.2,1515,14.9,0.8236002368703657,0.9416253293051804,231.88883941286295,217.20463895607176,Changeup,94,615,645,14.684200456791189,14.684200456791181,-30,10,15,10,45,0,30,10:15,10:45,-0H 30M
,Garza, Justin,621057,R,CH,41,85,1666,17.1,0.9051278894065997,0.93921556701768,130.83901884144,109.54818542904316,Changeup,94,105,135,21.29083341239685,21.29083341239684,-30,1,45,2,15,0,30,1:45,2:15,-0H 30M
,McClanahan, Shane,663556,L,CH,157,89.2,1725,19.3,1.0016947580368543,0.9869868428146021,239.92049472741638,238.78776024965947,Changeup,99,600,600,1.1327344777569124,1.1327344777569215,0,10,0,10,0,0,0,10:00,10:00, 0H 00M
,Plesac, Zach,668676,R,CH,535,85.7,1599,16,0.8544487780754036,0.9882423410092586,129.87088038867665,125.26809193262451,Changeup,99,105,105,4.602788456052139,4.6027884560521235,0,1,45,1,45,0,0,1:45,1:45, 0H 00M
,Dunning, Dane,641540,R,CH,247,84.5,1935,19,0.9258210972807638,0.9897471842451684,111.87313258304198,104.68141891817868,Changeup,99,135,150,7.1917136648633,7.191713664863295,-15,2,15,2,30,0,15,2:15,2:30,-0H 15M
,Suárez, Ranger,624133,L,CH,386,85,1491,16.8,0.927579130639364,0.9415219345794767,234.13424799197475,252.3372100112469,Changeup,94,615,570,-18.20296201927215,18.202962019272125,45,10,15,9,30,0,45,10:15,9:30,+0H 45M
,Duplantier, Jon,641541,R,CH,13,83.8,1644,17,0.9275704420564854,0.9934277896712914,112.41945555044121,103.30500439397481,Changeup,99,135,150,9.114451156466401,9.114451156466409,-15,2,15,2,30,0,15,2:15,2:30,-0H 15M
,Moran, Jovani,663558,L,CH,75,82,1784,15.6,0.785225388562283,0.8405075638125385,216.19877952495273,241.7112384874585,Changeup,84,645,600,-25.512458962505775,25.51245896250581,45,10,45,10,0,0,45,10:45,10:00,+0H 45M
,Gallen, Zac,668678,R,CH,305,86.1,1479,13.6,0.7723991727933881,0.8939339996062966,129.37666143440742,100.66724615892109,Changeup,89,105,165,28.709415275486336,28.70941527548635,-60,1,45,2,45,1,0,1:45,2:45,-1H 00M
,Falter, Bailey,663559,L,CH,32,83.7,1659,17,0.8952396441381769,0.9521738108981973,201.82017813432063,213.10231911047373,Changeup,95,675,660,-11.282140976153102,11.282140976153094,15,11,15,11,0,0,15,11:15,11:00,+0H 15M
,Romero, Jhon,664584,R,CH,11,85,1300,11.9,0.7665771776197216,0.9344919273435938,129.6866313997879,110.33891063401266,Changeup,93,105,135,19.347720765775236,19.347720765775243,-30,1,45,2,15,0,30,1:45,2:15,-0H 30M
,Anderson, Ian,666120,R,CH,679,88.1,1646,15.4,0.8365259990339127,0.98581767882872,143.7045582736454,135.94156760469724,Changeup,99,75,90,7.762990668948163,7.762990668948166,-15,1,15,1,30,0,15,1:15,1:30,-0H 15M
,Ureña, José,570632,R,CH,228,89.8,1677,16.7,0.8941738899388469,0.958073294102681,132.5435102539813,121.13166388900672,Changeup,96,90,120,11.411846364974593,11.4118463649746,-30,1,30,2,0,0,30,1:30,2:00,-0H 30M
,Farmer, Buck,571656,R,CH,178,87.7,1591,16.2,0.8895454819413812,0.8978373058287432,116.25163499741936,98.60311923037573,Changeup,90,120,165,17.648515767043634,17.648515767043648,-45,2,0,2,45,0,45,2:00,2:45,-0H 45M
,Ponce, Cody,664074,R,CH,58,86.2,1888,17,0.8585647579102186,0.9947513199988685,127.30745700600781,125.24735713652315,Changeup,99,105,105,2.0600998694846595,2.060099869484678,0,1,45,1,45,0,0,1:45,1:45, 0H 00M
,Cotton, Jharel,605194,R,CH,163,80,2350,15.4,0.6730289427273006,0.7735946102732747,110.40059935565785,115.4309043807062,Changeup,77,135,135,-5.030305025048349,5.030305025048335,0,2,15,2,15,0,0,2:15,2:15, 0H 00M
,Gray, Sonny,543243,R,CH,62,87.8,1813,15.4,0.7858025746038382,0.8639941281531086,144.5355460322323,121.23353692314558,Changeup,86,75,120,23.302009109086725,23.302009109086715,-45,1,15,2,0,0,45,1:15,2:00,-0H 45M
,Ross, Joe,605452,R,CH,99,88.5,1695,16.3,0.8619703271406213,0.9271906728951043,130.39185553224706,117.32968742613197,Changeup,93,105,120,13.062168106115095,13.062168106115111,-15,1,45,2,0,0,15,1:45,2:00,-0H 15M
,Zimmer, Kyle,622092,R,CH,20,87,1653,15.3,0.8222816637918993,0.9005917769481533,165.50681385126563,138.19537819546196,Changeup,90,750,90,27.311435655803677,27.311435655803685,-60,12,30,1,30,1,0,12:30,1:30,-1H 00M
,Clippard, Tyler,461325,R,CH,140,78.3,2090,19.3,0.9015383118046885,0.9743305297785807,129.32779662984993,135.3190631073009,Changeup,97,105,90,-5.991266477450978,5.991266477450952,15,1,45,1,30,0,15,1:45,1:30,+0H 15M
,Romero, JoJo,668941,L,CH,35,85.7,1573,17.3,0.9224556541928846,0.9631370502869375,245.02844834120833,259.4812349143455,Changeup,96,585,555,-14.452786573137189,14.452786573137164,30,9,45,9,15,0,30,9:45,9:15,+0H 30M
,Ramirez, Nick,598286,L,CH,122,79.2,1518,16.4,0.86425671605711,0.9811217155784744,248.40311780101192,245.0648124315633,Changeup,98,585,585,3.3383053694486193,3.33830536944864,0,9,45,9,45,0,0,9:45,9:45, 0H 00M
,Lambert, Peter,663567,R,CH,45,84.8,1348,10.7,0.7436714719360487,0.994539371117196,130.43378235114494,109.86105444029103,Changeup,99,105,135,20.572727910853914,20.572727910853907,-30,1,45,2,15,0,30,1:45,2:15,-0H 30M
,Ramirez, Noé,598287,R,CH,165,84.1,2131,14.9,0.7027818585278842,0.7156943182213554,105.94890833416817,73.63554681357837,Changeup,72,150,210,32.313361520589794,32.3133615205898,-60,2,30,3,30,1,0,2:30,3:30,-1H 00M
,Ashby, Aaron,676879,L,CH,109,88.9,1887,14.6,0.7497296745414409,0.8231164324007809,231.44427027735864,266.2268476919658,Changeup,82,615,555,-34.782577414607175,34.7825774146072,60,10,15,9,15,1,0,10:15,9:15,+1H 00M
,Bieber, Shane,669456,R,CH,73,87.4,1740,17.6,0.9005237479701492,0.9861824923542419,124.08709443532749,113.70103670510153,Changeup,99,105,135,10.386057730225957,10.386057730225954,-30,1,45,2,15,0,30,1:45,2:15,-0H 30M
,Davies, Zach,605200,R,CH,834,78.5,1691,16,0.8046967082150663,0.9791480787328307,108.34903128312075,113.67887042423246,Changeup,98,150,135,-5.329839141111705,5.329839141111707,15,2,30,2,15,0,15,2:30,2:15,+0H 15M
